latitude	longitude	price	hoa	beds	baths	sqft	remodel	built	stories	type	address	parking	view	lastupdatedate
47610688.00	-122325912.00	607500.00	0.00	2.00	2.00	1113.00	1981.00	1981.00	0.00	Condo	1101 Seneca Street Apartment 901	Attached Garage, 1 space	City	05/19/17
47612988.00	-122339304.00	630000.00	0.00	1.00	1.50	910.00	2010.00	2009.00	0.00	Condo	Escala UNIT 309	Attached Garage, 1 space	City	05/25/17
47612988.00	-122339304.00	680000.00	604.00	1.00	1.50	952.00	2010.00	2010.00	0.00	Condo	Escala UNIT 607	Attached Garage, 1 space	City, Territorial	06/02/17
47612988.00	-122339304.00	730000.00	0.00	1.00	1.50	910.00	2010.00	2010.00	0.00	Condo	Escala UNIT 1510	Attached Garage, 1 space	City	06/21/17
47608044.00	-122339768.00	505000.00	0.00	1.00	1.00	726.00	1985.00	1985.00	0.00	Condo	98 Union Street Apartment 407	Off street, 1 space	Territorial	09/29/17
47612148.00	-122329632.00	350000.00	403.00	1.00	1.00	574.00	0.00	1957.00	0.00	Condo	1400 Hubbell Place Apartment 908	None	NULL	10/25/17
47612148.00	-122329632.00	355000.00	0.00	1.00	1.00	568.00	0.00	1957.00	0.00	Condo	1400 Hubbell Place Apartment 1203	No Data	NULL	11/06/17
47610172.00	-122338656.00	425000.00	0.00	1.00	1.00	722.00	1980.00	1913.00	0.00	Condo	1519 3rd Avenue Apartment 504	None	City	10/02/17
47612120.00	-122328128.00	445000.00	290.00	1.00	1.00	540.00	0.00	2001.00	0.00	Condo	1323 Boren Avenue Apartment 208	No Data	NULL	09/12/17
47613560.00	-122334056.00	783000.00	0.00	1.00	1.00	1092.00	2009.00	2009.00	39.00	Single Family	The Elektra Apartment 2108	Attached Garage, 1 space	City	09/08/17
47605804.00	-122337720.00	435000.00	0.00	1.00	0.00	0.00	2006.00	1902.00	0.00	Condo		None	Territorial	07/28/17
47609280.00	-122329248.00	583000.00	0.00	2.00	1.50	1007.00	0.00	1970.00	0.00	Condo	1120 8th Avenue Apartment 403	None	NULL	07/24/17
47605484.00	-122337424.00	615900.00	646.00	1.00	1.50	917.00	1983.00	1983.00	0.00	Condo	1107 1st Avenue Apartment 907	Attached Garage, 1 space	City, Mountain, Territorial, Water	06/14/17
47612148.00	-122329632.00	415000.00	0.00	2.00	1.00	800.00	1985.00	1957.00	16.00	Multi Family	1400 Hubbell Place Apartment 601	None, 1 space	Territorial	05/15/17
47608040.00	-122339768.00	615000.00	1018.00	2.00	1.50	969.00	1985.00	1985.00	0.00	Condo	98 Union Street Apartment 908	Attached Garage, 1 space	Territorial	05/05/17
47607912.00	-122341224.00	801620.00	0.00	2.00	1.00	1038.00	1985.00	1982.00	5.00	Single Family	1425 Western Avenue Apartment 110	Attached Garage, 1 space	Territorial	05/31/17
47610688.00	-122325912.00	560000.00	621.00	2.00	1.00	964.00	1981.00	1981.00	0.00	Condo	1101 Seneca Street Apartment 504	1 space	NULL	05/22/17
47608648.00	-122338784.00	575000.00	0.00	1.00	1.00	670.00	1991.00	1991.00	0.00	Condo	1415 2nd Avenue UNIT 2406	Attached Garage, 1 space	City	05/31/17
47612148.00	-122329632.00	365000.00	444.00	2.00	1.00	663.00	1985.00	1957.00	0.00	Condo	1400 Hubbell Place Apartment 1311	Attached Garage, 1 space, 150 sqft garage	City, Park, Territorial, Water	05/01/17
47607912.00	-122341224.00	1100000.00	0.00	2.00	1.00	1064.00	1985.00	1982.00	5.00	Single Family	1425 Western Avenue Apartment 404	Attached Garage, 1 space	Water	05/15/17
47611808.00	-122323232.00	820000.00	0.00	1.00	1.00	851.00	0.00	2016.00	0.00	Condo	1321 Seneca Street Apartment 2107	No Data	NULL	05/22/17
47612988.00	-122339304.00	2900000.00	1840.00	2.00	2.25	2442.00	2010.00	2009.00	0.00	Condo	Escala UNIT 2704	2 spaces	NULL	05/10/17
47608648.00	-122338784.00	780555.00	65.00	2.00	1.50	991.00	1991.00	1991.00	0.00	Condo	1401 2nd Avenue UNIT 809	Attached Garage, 1 space	City, Mountain	03/22/17
47609672.00	-122339728.00	2245000.00	0.00	2.00	1.50	1824.00	0.00	2009.00	0.00	Condo	1521 2nd Avenue Apartment 1500	2 spaces	Mountain	04/04/17
47609672.00	-122339728.00	1890000.00	0.00	2.00	1.50	1729.00	2008.00	2008.00	0.00	Single Family	1521 2nd Avenue Apartment 2402	Attached Garage, 2 spaces	City	03/16/17
47612148.00	-122329632.00	415000.00	0.00	2.00	1.50	896.00	1985.00	1957.00	16.00	Single Family	1400 Hubbell Place Apartment 910	Attached Garage, 1 space	City, Park, Territorial	03/30/17
47612148.00	-122329632.00	380000.00	603.00	2.00	1.50	802.00	1985.00	1957.00	0.00	Condo	1400 Hubbell Place Apartment 807	Attached Garage, 1 space	City, Park	03/17/17
47609672.00	-122339728.00	2800000.00	0.00	2.00	1.50	1890.00	2008.00	2008.00	0.00	Condo	1521 2nd Avenue Apartment 3501	Attached Garage, 2 spaces	City, Mountain	03/24/17
47608648.00	-122338784.00	433000.00	0.00	1.00	1.00	602.00	1991.00	1991.00	0.00	Condo	1401 2nd Avenue UNIT 605	Attached Garage, 1 space	City	03/07/17
47616024.00	-122335704.00	650000.00	0.00	1.00	1.00	818.00	2007.00	2007.00	0.00	Condo	819 Virginia Street UNIT 2703	Attached Garage, 1 space	Water	02/27/17
47616024.00	-122335704.00	568000.00	0.00	1.00	1.00	738.00	2007.00	2007.00	0.00	Condo	819 Virginia Street UNIT 3005	Off street, On street, Attached Garage, 1 space	City	12/09/16
47612644.00	-122329232.00	544333.00	459.00	1.00	1.00	750.00	2002.00	2002.00	0.00	Condo	1420 Terry Avenue UNIT 1904	Attached Garage, 1 space	City, Mountain, Water	12/09/16
47605484.00	-122337424.00	500000.00	0.00	1.00	1.00	749.00	1983.00	1983.00	22.00	Single Family	1107 1st Avenue Apartment 802	Attached Garage	City	01/09/17
47613560.00	-122334056.00	550000.00	382.00	1.00	1.00	650.00	2009.00	2009.00	0.00	Condo	737 Olive Way Apartment 3210	Attached Garage, 1 space	City, Mountain, Water	11/23/16
47612988.00	-122339304.00	700000.00	720.00	1.00	1.50	952.00	2010.00	2010.00	0.00	Condo	Escala UNIT 1707	Attached Garage, 1 space	City, Mountain	11/18/16
47613560.00	-122334056.00	699000.00	495.00	1.00	1.50	840.00	2010.00	2010.00	0.00	Condo	The Elektra Apartment 3703	Attached Garage, 1 space	City, Mountain, Park, Territorial, Water	11/09/16
47623892.00	-122320376.00	530000.00	367.00	1.00	1.00	646.00	2007.00	2007.00	0.00	Condo	Brix Condominiums Apartment 416	Attached Garage, 1 space	Territorial	10/18/17
47619420.00	-122326256.00	715000.00	0.00	2.00	1.50	1141.00	0.00	2007.00	0.00	Condo	124 Bellevue Avenue East UNIT 502	Attached Garage	NULL	10/25/17
47640360.00	-122325024.00	915000.00	0.00	3.00	1.50	1736.00	0.00	0.00	0.00	Townhouse	2321 Franklin Avenue East #A	No Data	NULL	10/20/17
47621624.00	-122318456.00	925000.00	0.00	3.00	2.50	1490.00	0.00	2007.00	3.00	Townhouse	316 Federal Avenue East	Attached Garage, 1 space, 380 sqft garage	NULL	10/23/17
47612148.00	-122329632.00	490000.00	562.00	2.00	1.50	802.00	0.00	1957.00	0.00	Condo	1400 Hubbell Place Apartment 1107	Attached Garage, 1 space	City	09/18/17
47610612.00	-122336480.00	495000.00	606.00	1.00	1.00	710.00	2001.00	1909.00	0.00	Condo	1500 4th Avenue Apartment 705	None	City	10/31/17
47616024.00	-122335704.00	550000.00	0.00	1.00	1.00	719.00	2007.00	2006.00	1.00	Single Family	819 Virginia Street UNIT 2209	Attached Garage, 1 space	Territorial	10/21/17
47612988.00	-122339304.00	949950.00	0.00	2.00	2.00	1607.00	2010.00	2010.00	0.00	Condo	Escala UNIT 311	Attached Garage, 2 spaces	City	08/17/17
47616024.00	-122335704.00	800000.00	0.00	1.00	1.00	1176.00	0.00	2007.00	0.00	Multi Family	819 Virginia Street UNIT 3305	No Data	NULL	08/15/17
47609568.00	-122344712.00	582000.00	486.00	1.00	1.00	794.00	1997.00	1997.00	0.00	Condo	Waterfront Landings Apartment 505	Attached Garage, 1 space	Water	08/04/17
47605484.00	-122337424.00	497500.00	600.00	1.00	1.00	768.00	1983.00	1983.00	0.00	Condo	1107 1st Avenue Apartment 605	Attached Garage, 99 spaces	Water	07/07/17
47608472.00	-122341792.00	615000.00	0.00	1.00	1.00	989.00	1980.00	1910.00	0.00	Condo	1507 Western Avenue Suite 504	Off street	Mountain, Territorial, Water	06/06/17
47612360.00	-122328992.00	362000.00	351.00	1.00	1.00	528.00	1975.00	1965.00	0.00	Condo	1000 Union Street Apartment 215	No Data	NULL	06/02/17
47613560.00	-122334056.00	585000.00	411.00	1.00	1.00	650.00	2009.00	2009.00	0.00	Condo	The Elektra Apartment 1810	Attached Garage, 1 space	City	06/06/17
47623692.00	-122318528.00	1574000.00	0.00	5.00	3.50	2840.00	1983.00	1906.00	2.00	Multi Family	518 Federal Avenue East	Off street, Attached Garage, 3 spaces, 1400 sqft garage	NULL	10/25/17
47619456.00	-122323160.00	505000.00	350.00	1.00	1.00	619.00	2008.00	2006.00	0.00	Condo	Villa Marjorie Apartments Apartment 313	Attached Garage, 1 space	City, Mountain, Territorial, Water	10/18/17
47624428.00	-122319488.00	950000.00	0.00	3.00	1.00	1620.00	0.00	1908.00	1.50	Single Family	1006 East Mercer Street	Attached Garage, Detached Garage, 1 space, 280 sqft garage	NULL	10/17/17
47640732.00	-122324336.00	1926500.00	0.00	4.00	2.00	2680.00	2005.00	1910.00	2.00	Single Family	2334 Franklin Avenue East	Off street, On street, Detached Garage, 1 space, 220 sqft garage	City, Water	10/03/17
47635692.00	-122318208.00	1690000.00	0.00	5.00	2.50	4250.00	2002.00	1909.00	1.00	Single Family	1065 East Howe Street	2 spaces	City, Mountain, Water	09/22/17
47622308.00	-122327504.00	480000.00	503.00	2.00	1.50	1165.00	2010.00	1967.00	0.00	Condo	400 Melrose Avenue East #101	Carport, 1 space	City, Mountain, Water	09/25/17
47648348.00	-122323344.00	531000.00	330.00	1.00	1.00	812.00	0.00	2008.00	0.00	Condo	2960 Eastlake Avenue East Apartment 212	1 space	City	09/15/17
47621832.00	-122322352.00	358000.00	0.00	1.00	1.00	505.00	1965.00	1928.00	0.00	Condo	De Lorges Apartment 302	None	Territorial	08/25/17
47643636.00	-122326264.00	485000.00	322.00	2.00	1.50	983.00	0.00	1986.00	0.00	Condo	2611 Eastlake Avenue East Apartment 103	1 space	NULL	08/18/17
47641516.00	-122318272.00	1572500.00	0.00	5.00	3.50	4050.00	1996.00	1941.00	2.00	Single Family	1066 East Miller Street	Attached Garage, 2 spaces, 580 sqft garage	Water	08/18/17
47635560.00	-122319360.00	1100000.00	0.00	3.00	2.00	2120.00	0.00	1924.00	2.00	Single Family	1817 Federal Avenue East	Detached Garage, 1 space, 210 sqft garage	City	08/04/17
47645280.00	-122325000.00	332000.00	0.00	1.00	1.00	434.00	1988.00	1988.00	0.00	Condo	2727 Franklin Avenue East Apartment 302	Attached Garage, 1 space	City, Mountain, Territorial	08/17/17
47651436.00	-122320080.00	1400000.00	0.00	3.00	3.00	730.00	2006.00	1940.00	1.00	Miscellaneous	3240 Portage Bay Place East	Detached Garage, 1 space, 350 sqft garage	NULL	07/31/17
47623796.00	-122325680.00	570000.00	459.00	2.00	1.50	1025.00	1997.00	1984.00	0.00	Condo	521 Summit Avenue East Apartment 202	1 space	City	07/28/17
47622864.00	-122315384.00	663000.00	0.00	2.00	1.00	1064.00	1997.00	1928.00	0.00	Condo	Creswick Condominiums Apartment 3	Attached Garage, 1 space	Territorial	07/31/17
47644732.00	-122323744.00	320000.00	0.00	2.00	1.00	774.00	1985.00	1960.00	0.00	Condo	2703 Boylston Avenue East Apartment 101	1 space	NULL	07/20/17
47650092.00	-122318752.00	1350000.00	0.00	3.00	1.50	1350.00	0.00	2000.00	0.00	Single Family	Portage Bay Place Apartment N	Off street	Mountain	06/30/17
47641176.00	-122329112.00	677000.00	0.00	2.00	2.00	1120.00	1978.00	1978.00	0.00	Condo	2348 Fairview Avenue East	On street, Attached Garage	Water	07/07/17
47641160.00	-122327088.00	988000.00	0.00	2.00	1.75	1400.00	0.00	2010.00	0.00	Single Family	2351 Yale Avenue East B # A	No Data	NULL	06/28/17
47626108.00	-122325136.00	997000.00	0.00	3.00	3.50	1732.00	0.00	2017.00	0.00	Townhouse	731 Belmont Avenue East	Detached Garage, 1 space	City, Mountain, Territorial, Water	05/26/17
47611408.00	-122325936.00	330000.00	0.00	1.00	1.00	608.00	1975.00	1960.00	10.00	Single Family	1221 Minor Avenue Apartment 412	No Data	Territorial	05/01/17
47612120.00	-122328128.00	650000.00	452.00	2.00	2.00	840.00	2001.00	2001.00	0.00	Condo	1323 Boren Avenue Apartment 613	Attached Garage, 2 spaces	City, Water	05/18/17
47616024.00	-122335704.00	684000.00	0.00	1.00	1.00	966.00	2007.00	2007.00	0.00	Condo	819 Virginia Street UNIT 2901	Attached Garage, 1 space	Territorial	05/22/17
47612988.00	-122339304.00	1350000.00	1415.00	2.00	1.50	1883.00	2010.00	2010.00	0.00	Condo	Escala UNIT 2605	Attached Garage, 2 spaces	City, Territorial	05/24/17
47612148.00	-122329632.00	321000.00	0.00	1.00	1.00	491.00	1985.00	1957.00	0.00	Condo	1400 Hubbell Place Apartment 504	None	Territorial	05/17/17
47612360.00	-122328992.00	570000.00	535.00	2.00	2.00	969.00	1975.00	1965.00	0.00	Condo	1000 Union Street Apartment E	2 spaces	City, Territorial	04/17/17
47616024.00	-122335704.00	2700.00	0.00	1.00	1.00	954.00	2007.00	2007.00	0.00	Condo	819 Virginia Street UNIT 2311	Attached Garage, 1 space	Territorial	03/02/17
47613560.00	-122334056.00	610000.00	395.00	1.00	1.00	700.00	2010.00	2010.00	0.00	Condo	737 Olive Way Apartment 3204	Attached Garage, 1 space	City, Mountain, Water	02/13/17
47616024.00	-122335704.00	1950.00	0.00	1.00	1.00	738.00	2007.00	2007.00	0.00	Condo	819 Virginia Street UNIT 1506	Off street, Attached Garage, 1 space	Territorial	01/31/17
47612148.00	-122329632.00	300000.00	0.00	1.00	1.00	602.00	1985.00	1957.00	0.00	Condo	1400 Hubbell Place Apartment 1413	Detached Garage, 1 space	Territorial	01/25/17
47622280.00	-122322752.00	465000.00	0.00	1.00	1.00	767.00	1992.00	1931.00	0.00	Condo	400 Boylston Avenue East Apartment 201	Attached Garage, 1 space	City	06/15/17
47641676.00	-122314992.00	830000.00	0.00	2.00	2.50	1720.00	0.00	1949.00	1.00	Single Family	2509 Boyer Avenue East	Off street, Detached Garage, 2 spaces, 400 sqft garage	Mountain, Park, Territorial, Water	05/31/17
47649744.00	-122321600.00	269950.00	0.00	1.00	1.00	602.00	1975.00	1928.00	0.00	Condo	3121 Franklin Avenue East	Attached Garage, 1 space	NULL	05/26/17
47622968.00	-122327504.00	455000.00	0.00	2.00	1.00	760.00	2003.00	2003.00	8.00	Multi Family	The Highmark Apartment 300	Attached Garage, 1 space	Water	05/31/17
47620664.00	-122326872.00	480000.00	0.00	1.00	1.00	707.00	2005.00	2005.00	0.00	Condo	321 East Thomas Street Apartment 403	Attached Garage, 1 space	Territorial	06/09/17
47648088.00	-122318584.00	872000.00	0.00	4.00	1.50	2120.00	0.00	1922.00	2.00	Single Family	882 East Gwinn Place	Detached Garage, 1 space, 200 sqft garage	NULL	06/07/17
47625928.00	-122326224.00	410000.00	498.00	1.00	1.00	665.00	1997.00	1969.00	0.00	Condo	730 Bellevue Avenue East Apartment 405	Off street, 1 space	Mountain	06/09/17
47623300.00	-122326960.00	290000.00	488.00	1.00	1.00	0.00	0.00	1961.00	0.00	Condo	308 East Republican Street Apartment 803	Off street	City	05/18/17
47623892.00	-122320368.00	845324.00	654.00	2.00	1.50	1159.00	2007.00	2007.00	0.00	Condo	Brix Condominiums Apartment 324	1 space	Territorial	05/22/17
47625304.00	-122321048.00	220000.00	0.00	0.00	1.00	390.00	0.00	1929.00	0.00	Condo	756 Broadway East Apartment 305	None	NULL	05/19/17
47612148.00	-122329712.00	465000.00	67.00	2.00	2.00	1080.00	1985.00	1957.00	0.00	Condo	1400 Hubbell Place Penthouse 103	1 space	City	09/27/17
47612120.00	-122328128.00	577000.00	40000.00	2.00	2.00	771.00	2001.00	2001.00	0.00	Condo	1323 Boren Avenue Apartment 210	Attached Garage, 1 space	Territorial	09/15/17
47612988.00	-122339304.00	1300000.00	1209.00	2.00	2.00	1607.00	0.00	2009.00	0.00	Condo	Escala UNIT 1708	Attached Garage, 2 spaces	City	10/10/17
47607912.00	-122341224.00	976000.00	0.00	2.00	1.00	1065.00	1985.00	1982.00	5.00	Single Family	1425 Western Avenue # U407	Attached Garage, 1 space	Water	09/08/17
47612644.00	-122329232.00	1510000.00	1211.00	3.00	2.50	1666.00	2002.00	2002.00	0.00	Condo	1420 Terry Avenue UNIT 1801	2 spaces	NULL	07/21/17
47608044.00	-122339768.00	680000.00	972.00	2.00	1.50	969.00	1985.00	1985.00	0.00	Condo	98 Union Street Apartment 503	1 space	NULL	07/21/17
47616024.00	-122335704.00	385000.00	0.00	0.00	1.00	427.00	0.00	2007.00	0.00	Multi Family	819 Virginia Street UNIT 1208	None	NULL	08/25/17
47607376.00	-122339160.00	4248000.00	0.00	2.00	3.00	2120.00	2008.00	2008.00	0.00	Condo	99 Union Street UNIT 1704	Attached Garage, 2 spaces	City, Mountain, Water	08/18/17
47616024.00	-122335704.00	325000.00	0.00	0.00	1.00	419.00	2007.00	2006.00	1.00	Single Family	819 Virginia Street UNIT 1408	No Data	Territorial	09/12/17
47612988.00	-122339304.00	720000.00	685.00	1.00	1.50	910.00	2010.00	2010.00	0.00	Condo	Escala UNIT 1609	Attached Garage, 1 space	City	09/06/17
47626416.00	-122322032.00	1273950.00	0.00	3.00	2.00	2021.00	0.00	2008.00	0.00	Condo	744 Harvard Avenue East UNIT 300	Off street	City, Mountain, Water	05/02/17
47622720.00	-122327512.00	494000.00	0.00	2.00	1.75	1082.00	1992.00	1992.00	0.00	Condo	420 Melrose Avenue East Apartment 601	On street, Attached Garage, 1 space	Territorial	04/21/17
47630040.00	-122324728.00	875000.00	0.00	3.00	1.75	1844.00	2002.00	1990.00	0.00	Condo	1202 Lakeview Boulevard East Apartment 8	Attached Garage, 1 space	Water	04/28/17
47646864.00	-122317048.00	926000.00	0.00	2.00	1.50	960.00	0.00	2005.00	0.00	Single Family	1210 East Shelby St G # G	No Data	Mountain	04/19/17
47622892.00	-122322736.00	225000.00	0.00	0.00	1.00	377.00	2000.00	1963.00	0.00	Condo	Vertigo Condominiums Apartment 207	No Data	Territorial	05/10/17
47619756.00	-122317840.00	600000.00	0.00	1.00	2.00	1200.00	1981.00	1981.00	0.00	Condo	1111 East John St Seattle WA 98102 Apartment 6	Attached Garage, 1 space	City	05/02/17
47623892.00	-122320376.00	550000.00	0.00	2.00	2.00	1069.00	2007.00	2008.00	1.00	Multi Family	Brix Condominiums Apartment 210	Attached Garage, 1 space	Territorial	04/08/17
47623892.00	-122320376.00	430000.00	0.00	1.00	1.00	645.00	2007.00	2007.00	1.00	Single Family	Brix Condominiums Apartment 406	Attached Garage, 1 space	Territorial	03/30/17
47620532.00	-122322832.00	605500.00	0.00	2.00	2.00	1118.00	1997.00	1978.00	0.00	Condo	210 Boylston Avenue East Apartment 307	Attached Garage, 1 space	City, Territorial	03/31/17
47621404.00	-122327496.00	490000.00	0.00	2.00	2.00	965.00	1980.00	1966.00	0.00	Condo	320 Melrose Avenue East Apartment 302	Carport	Territorial	04/14/17
47616024.00	-122335704.00	1018000.00	825.00	2.00	1.50	1316.00	2007.00	2007.00	0.00	Condo	819 Virginia Street UNIT 2902	Attached Garage, 2 spaces	City, Mountain	10/13/17
47616024.00	-122335704.00	730000.00	479.00	1.00	1.00	818.00	2007.00	2007.00	0.00	Condo	819 Virginia Street UNIT 2803	Attached Garage	Mountain, Territorial, Water	10/19/17
47610612.00	-122336480.00	540000.00	0.00	1.00	1.00	1000.00	2001.00	1909.00	0.00	Condo	1500 4th Avenue Apartment 1000	No Data	Territorial	09/18/17
47612148.00	-122329712.00	465000.00	331.00	1.00	1.00	568.00	1985.00	1957.00	0.00	Condo	1400 Hubbell Place # 103	Attached Garage, 1 space	NULL	09/28/17
47613824.00	-122334232.00	808000.00	0.00	1.00	2.00	837.00	0.00	2009.00	0.00	Condo	737 Olive Way Apartment 2907	Attached Garage	NULL	10/26/17
47612148.00	-122329632.00	330000.00	416.00	1.00	1.00	580.00	0.00	1957.00	0.00	Condo	1400 Hubbell Place Apartment 1315	None	NULL	09/05/17
47608648.00	-122338784.00	800000.00	788.00	2.00	2.00	991.00	1991.00	1991.00	0.00	Condo	1415 2nd Avenue UNIT 1109	Attached Garage, 1 space	City, Water	07/27/17
47616024.00	-122335704.00	843250.00	66.00	2.00	2.00	1315.00	2007.00	2007.00	0.00	Condo	819 Virginia Street UNIT 2310	Attached Garage, 1 space	Territorial	07/28/17
47612120.00	-122328128.00	382800.00	0.00	1.00	1.00	474.00	0.00	2001.00	0.00	Multi Family	1323 Boren Avenue Apartment 602	No Data	NULL	08/11/17
47612644.00	-122329232.00	610000.00	576.00	1.00	1.00	793.00	2002.00	2002.00	0.00	Condo	1420 Terry Avenue UNIT 504	Attached Garage, 1 space	City	08/08/17
47612988.00	-122339304.00	1359000.00	0.00	2.00	2.00	1607.00	2010.00	2010.00	0.00	Condo	Escala UNIT 1002	Attached Garage, 2 spaces	City	07/14/17
47612644.00	-122329232.00	500000.00	0.00	1.00	1.00	751.00	2002.00	2002.00	0.00	Condo	1420 Terry Avenue UNIT 805	Attached Garage, 1 space	City	05/31/17
47612120.00	-122328128.00	445000.00	290.00	1.00	1.00	540.00	0.00	2001.00	0.00	Condo	1323 Boren Avenue Apartment 208	No Data	NULL	09/12/17
47612988.00	-122339304.00	818000.00	0.00	1.00	1.50	910.00	2010.00	2010.00	0.00	Condo	Escala UNIT 910	Detached Garage, 1 space	Territorial	06/28/17
47612728.00	-122324800.00	635000.00	651.00	2.00	2.00	1008.00	1980.00	1980.00	0.00	Condo	1300 University Street Apartment 10A	Attached Garage, 1 space	City, Mountain, Territorial, Water	05/23/17
47612120.00	-122328128.00	370000.00	290.00	1.00	1.00	540.00	2001.00	2001.00	0.00	Condo	Bolero Apartment 508	Attached Garage, 1 space	City	03/31/17
47609568.00	-122344712.00	575000.00	0.00	1.00	1.00	922.00	1997.00	1997.00	0.00	Condo	Waterfront Landings Apartment 411	Attached Garage, 1 space	Territorial, Water	04/28/17
47610172.00	-122338656.00	340000.00	0.00	1.00	1.00	1248.00	1980.00	1913.00	8.00	Single Family	1519 3rd Avenue Apartment 704	No Data	Water	01/31/17
47612728.00	-122324800.00	350000.00	0.00	1.00	1.00	627.00	1980.00	1980.00	0.00	Condo	1300 University Street Apartment 6C	Attached Garage, 1 space	City, Territorial	02/17/17
47612148.00	-122329632.00	313250.00	382.00	1.00	1.00	574.00	1985.00	1957.00	0.00	Condo	1400 Hubbell Place Apartment 608	Off street, Attached Garage, 1 space	Territorial	03/07/17
47609568.00	-122344712.00	695000.00	649.00	2.00	1.50	1070.00	1997.00	1997.00	0.00	Condo	Waterfront Landings Apartment 408	4 spaces	NULL	02/22/17
47616024.00	-122335704.00	550000.00	412.00	1.00	1.00	740.00	2007.00	2007.00	0.00	Condo	819 Virginia Street UNIT 2605	Attached Garage, 2 spaces	City, Territorial	01/19/17
47612020.00	-122323712.00	864950.00	0.00	2.00	2.00	1181.00	0.00	2016.00	0.00	Condo	1321 Seneca Street # 1007	No Data	NULL	11/25/16
47616024.00	-122335704.00	330000.00	0.00	0.00	1.00	419.00	0.00	2007.00	0.00	Condo	819 Virginia Street UNIT 1908	None	City	11/10/16
47611752.00	-122323280.00	844950.00	0.00	1.00	1.00	846.00	0.00	2016.00	0.00	Condo	1321 Seneca Street	Attached Garage	NULL	11/20/16
47605484.00	-122337424.00	530000.00	0.00	1.00	0.75	783.00	1983.00	1983.00	0.00	Condo	1107 1st Avenue Apartment 1403	Attached Garage	City, Mountain	07/14/17
47612644.00	-122329232.00	868200.00	0.00	2.00	1.50	1103.00	2002.00	2002.00	1.00	Single Family	1420 Terry Avenue UNIT 1101	1 space	NULL	06/30/17
